user_id,mss_length,maturity_store_segment
73,398,"[""1189"",""1277"",""1332"",""1496"",""1627"",""1679"",""1681"",""1829"",""1846"",""1848"",""1849"",""1881"",""1962"",""1965"",""1971"",""2004"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2243"",""2266"",""2270"",""2283"",""2313"",""2350"",""2449"",""2457"",""2461"",""2480"",""2708"",""2769"",""2770"",""3275"",""3276"",""3421"",""3423"",""3428"",""3429"",""3495"",""3670"",""3823"",""3824"",""3826"",""3830"",""4025"",""4027"",""4111"",""A3"",""A7"",""A12"",""Loyalty_Insurance_Registered""]"
75,387,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1831"",""1848"",""1849"",""1881"",""1882"",""1968"",""1971"",""2013"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2243"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2449"",""2457"",""2461"",""2465"",""2480"",""2708"",""2717"",""2769"",""2771"",""3421"",""3423"",""3429"",""3649"",""3670"",""3823"",""3824"",""3826"",""3829"",""3830"",""4024"",""4025"",""4027"",""4110"",""A20"",""A3"",""A7"",""A14""]"
113,313,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1831"",""1848"",""1849"",""1881"",""1962"",""1965"",""1967"",""1971"",""2004"",""2013"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2266"",""2270"",""2283"",""2291"",""2313"",""2447"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""3649"",""3670"",""3961"",""3982"",""4003"",""4025"",""4027"",""A7"",""A12""]"
149,332,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1847"",""1849"",""1881"",""1962"",""1968"",""1971"",""2013"",""2075"",""2129"",""2165"",""2166"",""2173"",""2237"",""2248"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2447"",""2457"",""2461"",""2480"",""2708"",""2726"",""3276"",""3429"",""3670"",""3824"",""3826"",""3961"",""4003"",""4025"",""4027"",""4110"",""A7"",""A12"",""A15"",""A16""]"
161,324,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1847"",""1849"",""1881"",""1882"",""1968"",""1971"",""2013"",""2074"",""2129"",""2165"",""2167"",""2173"",""2266"",""2270"",""2283"",""2313"",""2350"",""2451"",""2457"",""2708"",""2717"",""2771"",""2772"",""3275"",""3276"",""3421"",""3822"",""3823"",""3824"",""3826"",""3830"",""4025"",""4027"",""4110"",""A20"",""A7"",""A14"",""A15"",""A16""]"
162,353,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1971"",""2004"",""2013"",""2074"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2266"",""2270"",""2283"",""2291"",""2313"",""2350"",""2447"",""2457"",""2461"",""2465"",""2480"",""2708"",""3275"",""3276"",""3429"",""3493"",""3649"",""3670"",""3822"",""3823"",""3826"",""3830"",""4024"",""4025"",""4027"",""A7"",""A13"",""A15"",""A16""]"
186,372,"[""1168"",""1190"",""1277"",""1329"",""1496"",""1627"",""1679"",""1681"",""1829"",""1848"",""1849"",""1881"",""1962"",""1971"",""2071"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2243"",""2248"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2350"",""2454"",""2457"",""2717"",""2726"",""2769"",""2771"",""3421"",""3422"",""3429"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""4025"",""4027"",""4111"",""A3"",""A7"",""A14"",""A15"",""A16""]"
216,404,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1849"",""1881"",""1962"",""1965"",""1967"",""1971"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2243"",""2266"",""2270"",""2283"",""2291"",""2312"",""2313"",""2350"",""2447"",""2457"",""2461"",""2465"",""2480"",""2708"",""2726"",""3263"",""3275"",""3429"",""3649"",""3670"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""3961"",""3982"",""4003"",""4025"",""4027"",""4111"",""A6"",""A16""]"
217,419,"[""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1846"",""1848"",""1850"",""1881"",""1962"",""1965"",""1967"",""1969"",""1971"",""2004"",""2074"",""2076"",""2129"",""2165"",""2167"",""2173"",""2237"",""2243"",""2266"",""2270"",""2283"",""2291"",""2313"",""2447"",""2457"",""2461"",""2465"",""2480"",""2708"",""2717"",""2726"",""2755"",""3190"",""3196"",""3208"",""3275"",""3429"",""3649"",""3670"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""3961"",""3982"",""4003"",""4024"",""4025"",""4027"",""A6""]"
230,375,"[""1168"",""1189"",""1277"",""1496"",""1627"",""1679"",""1681"",""1738"",""1829"",""1848"",""1849"",""1881"",""1962"",""1969"",""1971"",""2013"",""2074"",""2129"",""2165"",""2167"",""2173"",""2174"",""2237"",""2243"",""2270"",""2283"",""2291"",""2313"",""2350"",""2450"",""2457"",""2461"",""2480"",""2708"",""2726"",""2772"",""3275"",""3276"",""3429"",""3670"",""3822"",""3823"",""3824"",""3826"",""3829"",""3830"",""3961"",""4003"",""4024"",""4025"",""4027"",""A7"",""A12"",""A15""]"
